Id,Week,HomeTeamId,AwayTeamId,Spread,HomeTeamScore,AwayTeamScore
1,1,30,9,-7.5,31,29
2,1,24,10,3,13,27
3,1,2,26,3,6,32
4,1,4,27,-6.5,16,32
5,1,7,21,3,27,24
6,1,11,28,8.5,33,41
7,1,31,1,-3,13,38
8,1,14,29,3,16,28
9,1,32,18,-1.5,16,20
10,1,5,25,-3.5,19,14
11,1,13,15,3,37,21
12,1,16,8,-5.5,33,29
13,1,22,20,-3,16,17
14,1,23,12,3.5,38,3
15,1,19,6,-7.5,34,14
16,1,17,3,3.5,33,27
17,2,32,24,-3,30,29
18,2,18,9,-3,17,20
19,2,6,7,-1.5,20,17
20,2,8,13,-13.5,31,21
21,2,14,19,3.5,24,27
22,2,20,4,3.5,0,35
23,2,25,22,6,6,25
24,2,26,28,3,11,17
25,2,27,17,-5.5,17,26
26,2,5,23,3.5,26,7
27,2,15,10,6,13,23
28,2,1,21,3.5,34,33
29,2,30,2,-12.5,48,25
30,2,29,31,-6.5,30,33
31,2,3,16,3.5,36,35
32,2,12,11,-12.5,35,17
33,3,13,5,8,9,24
34,3,4,32,-7,43,21
35,3,8,6,-7.5,26,6
36,3,11,3,8.5,17,19
37,3,31,14,-5.5,25,16
38,3,16,18,-7,24,30
39,3,22,23,-3,13,28
40,3,24,2,-3,14,17
41,3,27,7,-3,10,24
42,3,15,1,7.5,19,31
43,3,10,25,-10.5,26,0
44,3,17,20,-3.5,31,28
45,3,19,30,1,34,24
46,3,21,29,1.5,30,17
47,3,12,28,-3,28,30
48,3,9,26,-3.5,41,21
49,4,7,15,-7.5,24,21
50,4,19,1,-6,20,37
51,4,18,17,-3.5,28,14
52,4,23,24,-7.5,21,27
53,4,2,32,1.5,30,34
54,4,9,5,-4.5,36,28
55,4,4,13,-16.5,40,0
56,4,6,11,-3,24,14
57,4,21,8,2,7,14
58,4,20,14,-1.5,17,27
59,4,25,31,7.5,27,24
60,4,26,16,6,30,42
61,4,28,29,-2.5,21,28
62,4,10,3,-1.5,7,23
63,4,12,27,-6.5,27,17
64,4,22,30,6.5,17,19
65,5,29,19,2.5,17,26
66,5,9,24,-7,44,20
67,5,2,25,-3,27,20
68,5,7,12,3,22,25
69,5,21,11,-9.5,19,17
70,5,27,10,-1,27,19
71,5,30,20,-10,45,17
72,5,32,23,2,22,33
73,5,5,26,-3.5,18,21
74,5,15,31,4.5,19,37
75,5,13,22,9,22,25
76,5,17,6,-5.5,9,20
77,5,18,8,-2,47,42
78,5,1,28,-5.5,17,10
79,5,16,4,-2.5,20,38
80,5,3,14,-7,31,25
81,6,26,30,7,22,28
82,6,24,19,10.5,11,38
83,6,22,9,4,29,35
84,6,15,20,3.5,23,20
85,6,6,12,4.5,14,24
86,6,11,7,3,11,34
87,6,14,13,-10,31,3
88,6,32,16,6.5,13,31
89,6,5,21,-1.5,28,34
90,6,3,18,-3,34,6
91,6,8,1,-2.5,14,37
92,6,10,17,-3.5,24,34
93,6,27,29,-4.5,23,20
94,6,31,4,5.5,34,31
95,7,8,10,-5,17,14
96,7,24,5,3,25,3
97,7,12,32,-10,24,10
98,7,31,16,4,27,3
99,7,20,2,0,28,30
100,7,22,25,-7,54,13
101,7,3,7,-6.5,17,41
102,7,17,26,-3,33,22
103,7,19,11,-15.5,28,19
104,7,1,13,-17,31,5
105,7,30,6,-13,38,3
106,7,28,14,-4,18,30
107,7,29,23,3.5,10,13
108,8,1,12,-6.5,21,24
109,8,21,9,2.5,16,20
110,8,2,5,-3,13,19
111,8,6,28,3.5,22,33
112,8,8,27,-3,10,15
113,8,11,26,3,6,44
114,8,14,31,1,31,34
115,8,25,7,9.5,34,31
116,8,13,19,14.5,22,38
117,8,18,22,-5.5,24,27
118,8,29,15,-3,31,7
119,8,10,32,-3.5,17,10
120,8,4,20,-13.5,26,11
121,8,23,30,4.5,36,27
122,8,16,24,-10,20,17
123,9,14,25,-10.5,45,30
124,9,9,10,-9.5,16,30
125,9,24,17,3,23,16
126,9,7,8,-3,16,41
127,9,20,13,-7,17,9
128,9,23,2,-6,27,25
129,9,5,22,3.5,6,24
130,9,15,4,14,6,9
131,9,3,21,-5.5,34,31
132,9,26,18,2.5,24,27
133,9,16,12,-3,13,7
134,9,28,1,2.5,17,31
135,9,19,31,-7.5,16,28
136,9,27,6,-6.5,29,27
137,10,20,3,7.5,22,10
138,10,9,2,-9,43,3
